Day,Price,Signal,Cash,Shares,PortfolioValue
0,5131.2,-1,100000.0,0.0,100000.0
1,5217.35,-1,100000.0,0.0,100000.0
2,5159.75,-1,100000.0,0.0,100000.0
3,5309.7,-1,100000.0,0.0,100000.0
4,5292.25,-1,100000.0,0.0,100000.0
5,5325.4,1,-20.00100000000384,18.776054756375125,99970.00099960007
6,5241.55,1,-20.00100000000384,18.776054756375125,98395.62880827804
7,5216.75,1,-20.00100000000384,18.776054756375125,97929.98265031993
8,5278.6,1,-20.00100000000384,18.776054756375125,99091.28163700174
9,5358.9,1,-20.00100000000384,18.776054756375125,100598.99883393865
10,5341.9,1,-20.00100000000384,18.776054756375125,100279.80590308027
11,5214.95,1,-20.00100000000384,18.776054756375125,97896.18575175844
12,5137.9,1,-20.00100000000384,18.776054756375125,96449.49073277974
13,5114.7,1,-20.00100000000384,18.776054756375125,96013.88626243184
14,5106.6,1,-20.00100000000384,18.776054756375125,95861.80021890522
15,5086.55,1,-20.00100000000384,18.776054756375125,95485.34032103988
16,5080.45,-1,95342.19105262603,0.0,95342.19105262603
17,5049.45,-1,95342.19105262603,0.0,95342.19105262603
18,5156.2,-1,95342.19105262603,0.0,95342.19105262603
19,5057.35,1,-19.069391632438055,18.850318593726616,95313.58934835087
20,5130.8,1,-19.069391632438055,18.850318593726616,96698.1452490601
21,5011.2,1,-19.069391632438055,18.850318593726616,94443.64714525038
22,5019.9,-1,94579.2587952575,0.0,94579.2587952575
23,4886.85,1,-18.916797551632044,19.351893911330386,94550.88596303327
24,4883.65,1,-18.916797551632044,19.351893911330386,94488.959902517
25,4791.3,1,-18.916797551632044,19.351893911330386,92701.81249980564
26,4823.5,1,-18.916797551632044,19.351893911330386,93324.94348375048
27,4874.4,1,-18.916797551632044,19.351893911330386,94309.9548838372
28,4990.15,1,-18.916797551632044,19.351893911330386,96549.93660407368
29,4924.2,-1,95245.09332767392,0.0,95245.09332767392
30,5005.5,-1,95245.09332767392,0.0,95245.09332767392
31,4905.15,-1,95245.09332767392,0.0,95245.09332767392
32,4878.6,-1,95245.09332767392,0.0,95245.09332767392
33,4873.75,1,-19.0499711164739,19.540512074452344,95216.52075174564
34,5054.45,1,-19.0499711164739,19.540512074452344,98747.49128359917
35,5153.75,1,-19.0499711164739,19.540512074452344,100687.8641325923
36,5042.55,-1,98485.40095784508,0.0,98485.40095784508
37,5068.4,-1,98485.40095784508,0.0,98485.40095784508
38,5123.35,-1,98485.40095784508,0.0,98485.40095784508
39,5062.35,-1,98485.40095784508,0.0,98485.40095784508
40,4965.05,-1,98485.40095784508,0.0,98485.40095784508
41,4977.8,-1,98485.40095784508,0.0,98485.40095784508
42,4981.7,-1,98485.40095784508,0.0,98485.40095784508
43,5161.3,1,-19.698065045580734,19.079602888238128,98455.85632201788
44,5139.2,1,-19.698065045580734,19.079602888238128,98034.1970981878
45,5080.15,-1,96878.47031279842,0.0,96878.47031279842
46,4993.35,-1,96878.47031279842,0.0,96878.47031279842
47,4998.9,-1,96878.47031279842,0.0,96878.47031279842
48,5109.8,-1,96878.47031279842,0.0,96878.47031279842
49,4973.25,1,-19.376662847265834,19.477963987925225,96849.40774010186
50,4806.2,1,-19.376662847265834,19.477963987925225,93595.61385591894
51,4839.25,1,-19.376662847265834,19.477963987925225,94239.36056571988
